icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z
-1.0941502,5.9585695,5.059547,1.125,-1.85625,-17.587502,0.6636402,1.1535143,0.36311132
-2.5983074,5.5365915,4.522647,2.5500002,-1.10625,-15.50625,-0.6774882,0.24593568,0.06364767
-1.2282255,3.6206315,7.8811135,2.4375,0.75,-15.543751,-0.25352547,1.6115644,0.35245898
-3.120842,5.445612,3.5260606,4.1062503,-0.4875,-15.056251,0.3547226,0.29706687,0.2981321
-1.7986441,6.657676,4.911106,3.4875002,-0.6,-14.906251,-0.46870252,-0.28135467,1.0363386
-0.4854244,7.923012,8.269572,2.9437501,-2.5500002,-15.468751,0.30039573,-0.2046579,0.06364767
-3.1304188,9.355343,8.139688,2.0812502,-1.3687501,-15.50625,-0.5049205,-0.39000845,0.19586973
1.6077064,8.765771,10.755951,-1.1625,-0.88125,-18.525002,-1.3176932,0.90424967,0.34606758
-0.40402153,6.652888,8.5473,0.39375,2.1750002,-19.143751,-0.57522583,0.088281184,-0.3262276
-0.61530983,3.4195185,7.435792,2.625,1.9312501,-19.556252,0.22582941,-0.2696371,0.58254933
-0.2124854,6.2362967,4.048595,1.10625,1.2750001,-18.075,0.120371334,1.04273,0.34500235
1.0953473,4.171298,5.9837084,1.8937501,1.2375001,-18.075,-1.4987829,-2.6985016,-0.38481542
2.393603,2.9017725,7.2298903,-4.3125,6.15,-21.50625,-0.47935486,1.216363,-0.08441972
-1.8561049,4.894945,6.0944405,-0.3,4.96875,-22.3125,-0.51663804,0.14580376,-0.6010577
0.24720132,4.209605,9.548675,-1.5,6.99375,-21.46875,0.62848747,0.16497797,-0.1387466
-0.9983821,7.3669586,8.269572,-0.056250002,6.7875004,-21.150002,0.39946237,-0.33674678,-0.23248711
-0.82599956,6.88333,11.89619,-1.5,4.2937503,-20.831251,0.49533334,-0.025698747,0.037016846
-2.7665,6.7109475,7.828441,0.1875,2.775,-19.59375,0.012782796,-0.04487294,-0.062049825
-0.43754035,2.6431987,12.408549,-0.76875,4.9875,-22.3125,-0.15658925,-0.1727009,0.2789579
-1.894412,5.632958,5.5766945,-0.09375,4.36875,-21.69375,0.72755414,0.26830557,-0.18561685
-2.0332758,3.7594953,6.223727,-0.61875004,2.41875,-21.525002,-0.2609821,-0.5924027,-0.3517932
0.050876785,3.5344403,6.6546836,-1.0875001,3.1125002,-19.331251,0.12676273,0.4078511,0.2853493
-0.5291186,5.3737855,4.465186,0.65625,3.43125,-18.5625,0.30252618,-0.009720251,-0.051397495
0.18016368,6.260239,7.1820064,-1.7625,1.0125,-19.3125,0.109719,-0.30265933,-0.038614698
2.0775685,6.8306575,8.959103,-0.99375004,1.6875001,-18.862501,0.4452674,0.0115844095,-0.0077229394
0.52492875,7.788338,9.534309,-2.23125,0.4875,-20.19375,0.17363298,-0.794797,-0.15259463
0.6548142,7.3190746,10.832565,-2.8312502,0.35625002,-18.581251,-0.090544805,0.5303529,-0.11424624
-0.42796355,6.5666966,7.474099,-2.2875001,1.8937501,-18.73125,-0.65298784,-0.7564486,-0.53075236
0.6452374,3.5631707,9.926959,-1.44375,3.15,-21.112501,-0.25991687,0.61344105,-0.008788172
-1.8656816,5.3498435,4.1060557,-0.7875,3.6562502,-18.45,-0.13954553,-0.20252743,-0.4061201
0.7314286,3.5966895,8.882488,-1.7062501,5.1375003,-20.268751,-0.31104803,-0.6435339,-0.0055924733
-0.2220622,5.0146556,4.819528,-1.35,4.425,-20.681252,0.580552,0.28428406,-0.3805545
-1.103727,5.258864,4.51307,-2.1375,4.4625,-19.96875,-0.104392834,-0.70851314,-0.3091839
0.57760113,5.3737855,9.097966,-1.6125001,3.7125,-19.95,0.039413624,-0.116243556,-0.19520395
-0.18375498,6.873753,9.663596,-2.2125,3.1875002,-20.1,0.329157,-0.108786926,-0.25379178
-1.5634137,7.8703394,9.735423,-0.54375005,2.0812502,-18.862501,0.25991687,0.009453943,-0.16005126
-3.0059202,7.4723034,8.978256,-1.9875001,2.30625,-19.181252,-0.15126309,0.3726984,0.23102242
-0.4997896,4.5645456,12.006323,-2.79375,1.9312501,-20.23125,-0.7488588,-0.75218767,0.50052637
-0.17896658,4.2000284,7.8954787,-3.0,2.9437501,-20.1,0.55285597,1.070426,0.7018554
-0.5530606,5.483919,3.9863458,-2.11875,1.4625001,-19.3125,-0.38028818,-0.3761604,0.21184821
0.56323594,2.944868,9.792884,-4.96875,3.9,-21.0375,-0.46018067,0.15112993,-0.10252868
-1.8848352,4.5980644,5.6102133,-2.1750002,2.1937501,-20.362501,0.3387441,0.5228963,0.24167474
-0.4950012,4.7417164,6.1566896,-3.4687502,3.2250001,-18.91875,0.056457352,-0.072569,0.44939518
0.29987377,5.1678843,7.780557,-2.71875,1.2,-19.181252,0.48574626,0.48667833,0.20332636
-2.2200236,6.691195,8.571242,-1.25625,0.3,-20.025002,0.27163443,0.29387116,0.26084894
-0.24121583,7.4004774,9.788095,-3.3187501,0.65625,-18.581251,0.046870254,-0.13328728,0.5750927
-0.20290859,7.8368206,10.569203,-2.7562501,-0.7875,-18.5625,0.2034595,0.49093926,0.06151721
-0.9935937,5.6185927,7.191583,-3.2062502,-1.06875,-17.8125,-0.6348789,0.06804176,-0.037549466
-0.23642741,4.061165,9.179369,-0.7875,-2.30625,-19.237501,-0.036217924,0.42596006,0.2960016
-0.4854244,4.559757,6.0369797,-2.0062501,-0.39375,-19.59375,0.20026381,-0.18974464,0.30878443
0.6739678,4.099472,7.804499,-2.60625,-0.91875005,-19.44375,0.18748102,0.014780108,0.17030413
-0.6679823,4.8039656,5.8304796,-2.5125,-2.775,-19.85625,0.21517707,0.2757622,-0.10039821
-0.8738836,5.585074,5.8544216,-2.6437502,-2.9250002,-18.525002,-0.054326884,0.06484606,0.042343013
-1.4197617,5.891532,7.617751,-2.90625,-1.6125001,-19.875,-0.18002439,0.13621667,0.1340862
-2.1817162,6.6480994,8.90643,-1.5375,-3.3937502,-19.96875,0.14380646,0.2960016,0.72529054
-2.4450784,6.523601,9.59177,-4.0125003,-4.14375,-18.675001,0.20772044,0.2342181,1.0768174
-2.6030958,7.323863,9.346964,-4.5,-6.80625,-19.518751,0.33980933,0.6240934,1.4123658
-0.6536171,4.209605,12.691065,-4.8562503,-6.7500005,-21.75,-0.06710968,0.56870127,1.198254
-3.7098155,4.8039656,5.433042,-6.1875005,-7.7250004,-18.35625,0.40904948,1.7575014,1.4549751
-1.271321,3.7116113,7.4166384,-7.2187505,-8.962501,-17.75625,-0.2386122,0.96816367,1.3047773
-1.5777789,3.064578,7.9673047,-6.4500003,-8.56875,-18.056252,-0.14913262,1.8299372,1.3622999
-2.4833858,4.2000284,7.6560583,-4.3875003,-8.6625,-19.2,0.015978495,1.4358009,1.4389967
-1.328782,4.4687777,7.2873516,-3.4125001,-11.700001,-17.94375,0.06710968,1.1716232,1.5540419
-1.2378023,5.6521115,6.96593,-5.1375003,-9.075001,-17.2875,-0.07989248,1.371887,1.2493852
-1.2904748,6.4469867,7.6704235,-5.6625004,-10.63125,-16.368752,-0.17895915,0.7199644,1.0981221
-0.5291186,7.553706,9.361329,-6.4687505,-10.575001,-16.837502,0.109719,0.68055075,0.9852074
-0.4758476,7.065289,9.097966,-6.5437503,-11.868751,-15.76875,-0.0969362,0.8957278,0.53141814
-1.4915876,6.8545995,8.077438,-3.99375,-11.85,-16.03125,-0.4165061,0.7103773,0.4536561
-0.38965634,4.0372224,10.257359,-4.425,-10.387501,-17.550001,0.14274122,0.5921364,0.43448192
-1.6837224,5.3019595,6.0226145,-4.0687504,-10.70625,-16.35,0.24287313,0.5633751,0.6443328
0.002992752,4.5262384,7.450157,-7.1062503,-12.843751,-15.31875,0.053261653,0.12343387,0.35139373
-0.9648633,5.163096,5.667674,-5.1375003,-11.1,-14.587501,-0.08734911,0.59320164,0.3439371
-0.85473,5.052963,6.918046,-7.2187505,-10.293751,-13.89375,-0.041544087,0.02969337,0.16604319
-1.0366893,5.881955,6.482301,-4.8562503,-9.993751,-13.125001,0.07137061,-0.0011983871,0.28108835
-0.12150574,7.041347,8.058285,-6.7125,-11.025001,-14.606251,0.35898352,-0.26857188,0.1532604
-1.9853917,8.004415,7.972093,-6.2250004,-10.931251,-12.825001,-0.009587097,-0.015046417,0.050864875
-1.0702082,8.081029,9.601347,-7.0312505,-10.875,-13.575001,-0.003195699,0.43874285,0.29706687
-1.1899183,6.2315083,10.899603,-6.3,-9.7875,-13.593751,-0.5613778,0.0019973118,0.008255556
-1.75076,5.0146556,8.532935,-5.34375,-9.4125,-12.543751,0.6636402,0.5836145,0.4504604
-0.7062895,4.4059296,5.897517,-4.5,-9.900001,-11.34375,0.39520144,-0.6957303,-2.6630826E-4
-0.41838676,3.7499185,7.258621,-7.3875003,-10.012501,-12.8625,-0.39839715,0.34926328,-0.0258319
-0.61530983,4.228759,8.331821,-5.775,-9.84375,-11.3625,-0.023435127,0.78920454,0.21078299
-1.1228806,4.938041,5.385158,-4.3875003,-9.337501,-11.64375,0.7616416,-0.115178324,0.22889194
-0.94570965,6.1357403,5.1265845,-4.5,-9.50625,-9.8625,0.33341792,-0.047003407,0.19267403
-0.6871359,7.017405,6.716933,-7.2187505,-9.225,-10.200001,0.16404589,-0.14926578,-0.048201796
-0.6344634,7.48188,8.6095495,-5.8125,-11.15625,-8.681251,-0.01065233,-0.32289875,-0.09613728
-1.3383588,7.865551,9.102755,-7.1062503,-10.668751,-7.9687505,-0.2545907,-0.035285845,-0.1355509
